,action,ep_reward,goal_point,goal_reached,path_points,start_point,timestamp,total_step,trajectory_len
0,"[[0.4954739212989807, -0.9292868971824646, 0.0], [-0.7233557105064392, -0.784359335899353, 0.0], [0.6446967124938965, -0.6484049558639526, 0.0], [0.4653838872909546, 0.4072262644767761, 0.0], [-0.16180795431137085, -0.030635865405201912, 0.0], [-0.4265736937522888, 0.9540271759033203, 0.0], [-0.6730161905288696, -0.5387862920761108, 0.0], [0.6379077434539795, -0.36264491081237793, 0.0], [-0.007598702795803547, 0.3782805800437927, 0.0], [0.14495770633220673, 0.48910629749298096, 0.0]]",-10.0,"[-3.150751941616793, -0.01960534595423031, 1.378]",0.0,"[[-3.16752290725708, 0.09535366296768188, 1.3968000411987305], [-3.17113995552063, 0.09143173694610596, 1.3968000411987305], [-3.167916774749756, 0.0881895124912262, 1.3968000411987305], [-3.1655898094177246, 0.09022544324398041, 1.3968000411987305], [-3.1663990020751953, 0.09007219970226288, 1.3968000411987305], [-3.168532133102417, 0.09484222531318665, 1.3968000411987305], [-3.1718971729278564, 0.09214797616004944, 1.3968000411987305], [-3.168707847595215, 0.09033471345901489, 1.3968000411987305], [-3.168745994567871, 0.09222601354122162, 1.3968000411987305], [-3.1680214405059814, 0.09467142820358276, 1.3968000411987305]]","[-3.153817796180196, 0.05514255150066527, 1.378]",2023_02_14-11_07_52,10.0,0.036734985112267866
0,"[[-0.22740516066551208, -0.22227880358695984, 0.0], [-0.8169398903846741, -0.1423131674528122, 0.0], [-0.9911231994628906, -0.9912170767784119, 0.0], [0.10049935430288315, 0.8000786900520325, 0.0], [-0.20097313821315765, 0.12844893336296082, 0.0], [-0.29422226548194885, -0.9048281908035278, 0.0], [0.30050432682037354, -0.8488156795501709, 0.0], [-0.8842725157737732, -0.25515615940093994, 0.0], [-0.614217221736908, 0.31132298707962036, 0.0], [0.5613601207733154, -0.8767365217208862, 0.0]]",-10.0,"[-3.1648550746775714, -0.026396790825114227, 1.378]",0.0,"[[-3.1711373329162598, 0.09888851642608643, 1.3968000411987305], [-3.1752219200134277, 0.09817662835121155, 1.3968000411987305], [-3.1801774501800537, 0.09322021901607513, 1.3968000411987305], [-3.1796748638153076, 0.09722055494785309, 1.3968000411987305], [-3.1806797981262207, 0.09786278009414673, 1.3968000411987305], [-3.1821508407592773, 0.09333857893943787, 1.3968000411987305], [-3.1806483268737793, 0.08909431099891663, 1.3968000411987305], [-3.185070037841797, 0.087818443775177, 1.3968000411987305], [-3.188141107559204, 0.0893746018409729, 1.3968000411987305], [-3.1853342056274414, 0.08499071002006531, 1.3968000411987305]]","[-3.1480150677834944, 0.05033164852867847, 1.378]",2023_02_14-11_07_54,10.0,0.04047880112072184
0,"[[0.5289561152458191, 0.7996433973312378, 0.0], [-0.1846429407596588, 0.2835886776447296, 0.0], [0.346246600151062, 0.09304925799369812, 0.0], [-0.10720214992761612, -0.8453894257545471, 0.0], [-0.910584568977356, -0.7060425877571106, 0.0], [-0.6038160920143127, 0.8291658163070679, 0.0], [-0.1054208055138588, 0.07241400331258774, 0.0], [0.011189616285264492, 0.2973192632198334, 0.0], [-0.6688967943191528, 0.9845762252807617, 0.0], [0.9259777069091797, 0.2746622562408447, 0.0]]",-10.0,"[-3.1807967708305798, -0.027483027176409016, 1.378]",0.0,"[[-3.1673550605773926, 0.10399803519248962, 1.3968000411987305], [-3.168278217315674, 0.10541582107543945, 1.3968000411987305], [-3.1665470600128174, 0.10588088631629944, 1.3968000411987305], [-3.167083263397217, 0.10165385901927948, 1.3968000411987305], [-3.1716363430023193, 0.09812334179878235, 1.3968000411987305], [-3.1746556758880615, 0.10226891934871674, 1.3968000411987305], [-3.175182580947876, 0.10263080894947052, 1.3968000411987305], [-3.175126552581787, 0.10411737859249115, 1.3968000411987305], [-3.178471326828003, 0.10904017090797424, 1.39680016040802], [-3.173841714859009, 0.11041349172592163, 1.39680016040802]]","[-3.1608595663699606, 0.03747552860011545, 1.378]",2023_02_14-11_07_55,10.0,0.03633699463112358
0,"[[-0.9986717104911804, 0.4906722605228424, 0.0], [0.2856515347957611, 0.4330039322376251, 0.0], [0.04440045729279518, -0.5764946937561035, 0.0], [-0.21308769285678864, -0.6707631349563599, 0.0], [-0.8942751288414001, 0.8094276785850525, 0.0], [-0.7855101227760315, -0.19617988169193268, 0.0], [0.8511570692062378, 0.11142614483833313, 0.0], [-0.1636313498020172, -0.3562670946121216, 0.0], [0.6552541255950928, 0.38725608587265015, 0.0], [0.8040558099746704, 0.4284008741378784, 0.0]]",-10.0,"[-3.1596829507187154, -0.023575619538829203, 1.378]",0.0,"[[-3.1749937534332275, 0.1024533361196518, 1.3968000411987305], [-3.17356538772583, 0.10461826622486115, 1.396799921989441], [-3.1733436584472656, 0.10173583030700684, 1.3967996835708618], [-3.1744091510772705, 0.09838195145130157, 1.396799921989441], [-3.1788806915283203, 0.10242900252342224, 1.3967998027801514], [-3.1828083992004395, 0.10144805908203125, 1.3967995643615723], [-3.1785526275634766, 0.10200512409210205, 1.3967995643615723], [-3.179370880126953, 0.1002236008644104, 1.3967995643615723], [-3.1760945320129395, 0.10215964913368225, 1.3967995643615723], [-3.172074317932129, 0.10430166125297546, 1.3967995643615723]]","[-3.1778943476836035, 0.03711435693346709, 1.378]",2023_02_14-11_07_57,10.0,0.03925965634440992
0,"[[0.5642271041870117, -0.45840415358543396, 0.0], [0.14526280760765076, -0.9900980591773987, 0.0], [-0.1583963930606842, 0.5821371078491211, 0.0], [-0.6481463313102722, 0.33969172835350037, 0.0], [-0.5806389451026917, -0.8143925666809082, 0.0], [-0.4618670642375946, -0.20403032004833221, 0.0], [-0.2853442132472992, -0.6858847737312317, 0.0], [0.8931101560592651, -0.3271618187427521, 0.0], [-0.4422056972980499, 0.3010281026363373, 0.0], [-0.5336789488792419, 0.8565254211425781, 0.0]]",-10.0,"[-3.185564533892401, -0.04925189953487868, 1.378]",0.0,"[[-3.1671791076660156, 0.0977078378200531, 1.3968000411987305], [-3.1664533615112305, 0.0927571952342987, 1.3968000411987305], [-3.167245626449585, 0.09566780924797058, 1.3968000411987305], [-3.1704864501953125, 0.09736603498458862, 1.3968000411987305], [-3.1733896732330322, 0.09329396486282349, 1.3968000411987305], [-3.175699234008789, 0.09227392077445984, 1.3968000411987305], [-3.177126169204712, 0.08884429931640625, 1.3968000411987305], [-3.1726605892181396, 0.08720827102661133, 1.3968000411987305], [-3.1748716831207275, 0.08871316909790039, 1.3968000411987305], [-3.1775403022766113, 0.09299589693546295, 1.3968000411987305]]","[-3.185082065090039, 0.0401203982433754, 1.378]",2023_02_14-11_07_59,10.0,0.03902998020428967
0,"[[-0.8535320162773132, 0.14317622780799866, 0.0], [-0.6885687112808228, 0.9269784688949585, 0.0], [-0.7951394319534302, -0.1404510885477066, 0.0], [-0.5683398246765137, -0.9580439329147339, 0.0], [-0.4777544140815735, -0.748611569404602, 0.0], [0.08784473687410355, 0.7293893694877625, 0.0], [0.6835561394691467, -0.08638105541467667, 0.0], [0.9850137829780579, -0.9831032156944275, 0.0], [0.3968769609928131, -0.7652061581611633, 0.0], [0.7741054892539978, 0.671077311038971, 0.0]]",-10.0,"[-3.160377816357632, -0.0391646054517661, 1.378]",0.0,"[[-3.1742677688598633, 0.10071572661399841, 1.3968000411987305], [-3.177710771560669, 0.10535027086734772, 1.3968000411987305], [-3.1816864013671875, 0.10464797914028168, 1.396799921989441], [-3.184528350830078, 0.09985758364200592, 1.3967998027801514], [-3.186917304992676, 0.09611433744430542, 1.3967996835708618], [-3.18647837638855, 0.09976105391979218, 1.3967995643615723], [-3.183060884475708, 0.0993291437625885, 1.3967995643615723], [-3.178135871887207, 0.09441348910331726, 1.3967996835708618], [-3.1761515140533447, 0.09058736264705658, 1.3967998027801514], [-3.17228102684021, 0.09394264221191406, 1.3967998027801514]]","[-3.1872032060694564, 0.04202531876680155, 1.378]",2023_02_14-11_08_00,10.0,0.04765734682474976
0,"[[0.20843571424484253, -0.9498303532600403, 0.0], [-0.945048451423645, -0.6397888660430908, 0.0], [0.9447306990623474, 0.7637174725532532, 0.0], [0.7666190266609192, -0.0003039376751985401, 0.0], [-0.382242888212204, -0.06665346026420593, 0.0], [-0.4866565763950348, 0.9636600613594055, 0.0], [-0.9642896056175232, 0.8334954977035522, 0.0], [0.22215275466442108, -0.06668934226036072, 0.0], [0.10546082258224487, 0.34803512692451477, 0.0], [0.16490887105464935, 0.2673357129096985, 0.0]]",-10.0,"[-3.16678269682257, -0.031987459156436304, 1.378]",0.0,"[[-3.1689579486846924, 0.09525085985660553, 1.3968000411987305], [-3.1736834049224854, 0.09205183386802673, 1.3968000411987305], [-3.1689600944519043, 0.095870241522789, 1.3968000411987305], [-3.1651270389556885, 0.09586858749389648, 1.3968000411987305], [-3.1670384407043457, 0.09553533792495728, 1.3968000411987305], [-3.1694719791412354, 0.10035356879234314, 1.3968000411987305], [-3.1742935180664062, 0.10452085733413696, 1.3968000411987305], [-3.173182487487793, 0.10418720543384552, 1.396799921989441], [-3.1726553440093994, 0.10592719912528992, 1.396799921989441], [-3.1718311309814453, 0.1072637140750885, 1.396799921989441]]","[-3.1700105845696593, 0.05098870825445362, 1.378]",2023_02_14-11_08_02,10.0,0.03873500177409253
0,"[[0.8621222376823425, -0.10868486016988754, 0.0], [0.5945702791213989, -0.8888958096504211, 0.0], [0.13190700113773346, 0.3862419128417969, 0.0], [0.4629732072353363, 0.44716426730155945, 0.0], [0.24393850564956665, -0.5142567753791809, 0.0], [0.015890993177890778, 0.22651691734790802, 0.0], [0.7747966647148132, 0.7962002158164978, 0.0], [-0.9434077739715576, 0.8997749090194702, 0.0], [-0.11962918937206268, 0.13443949818611145, 0.0], [-0.8274073600769043, -0.3311777114868164, 0.0]]",-10.0,"[-3.163921640679153, -0.03859572264782529, 1.378]",0.0,"[[-3.165689706802368, 0.09945662319660187, 1.3968000411987305], [-3.162716865539551, 0.09501203894615173, 1.3968000411987305], [-3.162057399749756, 0.0969432145357132, 1.3968000411987305], [-3.159742832183838, 0.0991789698600769, 1.3968000411987305], [-3.1585230827331543, 0.09660753607749939, 1.3968000411987305], [-3.1584439277648926, 0.09773986041545868, 1.3968000411987305], [-3.1545701026916504, 0.10172079503536224, 1.3968000411987305], [-3.159287214279175, 0.10621951520442963, 1.3968000411987305], [-3.1598856449127197, 0.10689173638820648, 1.3968000411987305], [-3.164022922515869, 0.10523572564125061, 1.3968000411987305]]","[-3.1976130151500533, 0.0370795516201467, 1.378]",2023_02_14-11_08_03,10.0,0.036361314393946256
0,"[[-0.860320508480072, -0.29300519824028015, 0.0], [0.9651124477386475, 0.8883408308029175, 0.0], [-0.5500379800796509, -0.02356668747961521, 0.0], [-0.3866046965122223, -0.6283723711967468, 0.0], [0.02879887819290161, -0.2132803350687027, 0.0], [0.4717809557914734, 0.3766863942146301, 0.0], [0.5508819222450256, 0.32500746846199036, 0.0], [-0.11975864320993423, -0.7560949325561523, 0.0], [-0.6584296226501465, -0.962436318397522, 0.0], [0.12355716526508331, 0.8529216051101685, 0.0]]",-10.0,"[-3.1708198102790632, -0.025511732572717032, 1.378]",0.0,"[[-3.174301862716675, 0.09853500127792358, 1.3968000411987305], [-3.1694765090942383, 0.1029767245054245, 1.3968000411987305], [-3.172227144241333, 0.10285885632038116, 1.396799921989441], [-3.1741604804992676, 0.09971681237220764, 1.3967998027801514], [-3.1740164756774902, 0.09865029156208038, 1.3967998027801514], [-3.1716575622558594, 0.10053369402885437, 1.3967996835708618], [-3.168903112411499, 0.10215851664543152, 1.3967996835708618], [-3.1695022583007812, 0.09837782382965088, 1.3967998027801514], [-3.1727943420410156, 0.09356549382209778, 1.3967998027801514], [-3.1721768379211426, 0.0978301465511322, 1.3967998027801514]]","[-3.1596267669323512, 0.03166643722989836, 1.378]",2023_02_14-11_08_05,10.0,0.03880437384379055
0,"[[-0.2917039096355438, -0.8852131366729736, 0.0], [0.2436387687921524, -0.550349235534668, 0.0], [0.2830810546875, 0.8564881682395935, 0.0], [-0.04484070464968681, 0.8343001008033752, 0.0], [0.6106345057487488, 0.4447389245033264, 0.0], [0.17719532549381256, 0.22277915477752686, 0.0], [-0.820534348487854, 0.0600196048617363, 0.0], [-0.8364706039428711, -0.812589704990387, 0.0], [0.20297858119010925, -0.5890909433364868, 0.0], [-0.07612791657447815, -0.3118244409561157, 0.0]]",-10.0,"[-3.1754752344378545, -0.032875329885592, 1.378]",0.0,"[[-3.1714587211608887, 0.09557396173477173, 1.3968000411987305], [-3.170240879058838, 0.09282201528549194, 1.3968000411987305], [-3.168825387954712, 0.09710414707660675, 1.3968000411987305], [-3.1690495014190674, 0.10127553343772888, 1.3968000411987305], [-3.165996551513672, 0.10349929332733154, 1.3968000411987305], [-3.1651108264923096, 0.10461311042308807, 1.3968000411987305], [-3.1692137718200684, 0.10491305589675903, 1.3968000411987305], [-3.173396348953247, 0.10085001587867737, 1.3968000411987305], [-3.172381639480591, 0.09790447354316711, 1.3968000411987305], [-3.172762393951416, 0.09634512662887573, 1.3968000411987305]]","[-3.1731275089808526, 0.0510108163855619, 1.378]",2023_02_14-11_08_07,10.0,0.03622259753678574
